,src,tgt
0,6759 7291 5983 2 1041 4100 8137 5035 2664 9458,6759 7291 5983 2 1041 4100 8137 5035 2664 9458
1,63 1434 2059 8258 1234 5633 3693 4451 881 1286,63 1434 2059 8258 1234 5633 3693 4451 881 1286
2,9012 473 9000 9525 3622 1092 3641 5478 7788 3904,9012 473 9000 9525 3622 1092 3641 5478 7788 3904
3,4537 74 7937 4560 6708 2143 1780 7391 2762 1010,4537 74 7937 4560 6708 2143 1780 7391 2762 1010
4,8420 5502 8010 4730 6351 1598 149 6176 8416 7837,8420 5502 8010 4730 6351 1598 149 6176 8416 7837
5,7588 1022 4417 605 9301 6167 9800 8577 2165 2622,7588 1022 4417 605 9301 6167 9800 8577 2165 2622
6,5739 9998 7377 4634 8301 8451 3994 776 101 583,5739 9998 7377 4634 8301 8451 3994 776 101 583
7,6846 2226 8054 2301 302 5227 7097 8955 8274 9130,6846 2226 8054 2301 302 5227 7097 8955 8274 9130
8,9584 1702 3414 93 1306 3826 205 9944 2795 176,9584 1702 3414 93 1306 3826 205 9944 2795 176
9,4167 3156 734 6814 2345 8186 335 7906 7931 6632,4167 3156 734 6814 2345 8186 335 7906 7931 6632
10,2954 7097 4686 2675 5355 7119 1940 9353 8973 3601,2954 7097 4686 2675 5355 7119 1940 9353 8973 3601
11,6513 6570 3498 8787 2923 8984 2732 881 5269 1162,6513 6570 3498 8787 2923 8984 2732 881 5269 1162
12,3825 5060 1185 3359 7377 3128 9500 9090 4883 5269,3825 5060 1185 3359 7377 3128 9500 9090 4883 5269
13,9289 367 1727 8310 2148 7397 2767 1109 9291 6328,9289 367 1727 8310 2148 7397 2767 1109 9291 6328
14,3934 8041 8508 173 7721 8607 2994 6366 6787 9777,3934 8041 8508 173 7721 8607 2994 6366 6787 9777
15,3151 2934 4200 2485 9395 6451 5430 5110 2928 3152,3151 2934 4200 2485 9395 6451 5430 5110 2928 3152
16,7442 5528 5111 9615 6338 659 3051 975 3068 2330,7442 5528 5111 9615 6338 659 3051 975 3068 2330
17,3866 7343 3076 4738 2742 6017 6140 5497 9269 8181,3866 7343 3076 4738 2742 6017 6140 5497 9269 8181
18,1447 8125 9121 1317 9469 4945 1676 3865 8158 5480,1447 8125 9121 1317 9469 4945 1676 3865 8158 5480
19,5884 9969 1737 8233 4668 3570 8196 9580 3845 8453,5884 9969 1737 8233 4668 3570 8196 9580 3845 8453
20,6282 2337 5911 573 5868 5282 4046 5002 5626 7753,6282 2337 5911 573 5868 5282 4046 5002 5626 7753
21,5034 1205 2920 6081 3370 1544 5116 8935 1330 5175,5034 1205 2920 6081 3370 1544 5116 8935 1330 5175
22,1127 4006 9935 3331 5590 899 3983 4511 5866 1018,1127 4006 9935 3331 5590 899 3983 4511 5866 1018
23,2956 9850 8164 5198 5532 1117 7963 7489 5541 3820,2956 9850 8164 5198 5532 1117 7963 7489 5541 3820
24,7385 6795 957 3681 1610 6891 6081 434 3536 9827,7385 6795 957 3681 1610 6891 6081 434 3536 9827
25,486 5568 3161 5028 5076 7158 9223 4953 4830 3298,486 5568 3161 5028 5076 7158 9223 4953 4830 3298
26,2993 7083 138 9982 9790 6174 7874 1023 3593 6392,2993 7083 138 9982 9790 6174 7874 1023 3593 6392
27,9764 2728 4733 8926 3256 78 385 4728 6021 5754,9764 2728 4733 8926 3256 78 385 4728 6021 5754
28,4570 6336 2497 2983 8319 2832 9096 9533 158 3837,4570 6336 2497 2983 8319 2832 9096 9533 158 3837
29,7437 6641 1578 5106 1453 7346 8700 1061 8467 4710,7437 6641 1578 5106 1453 7346 8700 1061 8467 4710
30,996 4158 7566 5349 1815 5115 3128 8841 2736 8182,996 4158 7566 5349 1815 5115 3128 8841 2736 8182
31,9784 3701 207 9731 1597 8339 1064 7372 9620 2101,9784 3701 207 9731 1597 8339 1064 7372 9620 2101
32,4628 2903 656 7106 360 4145 2254 148 3968 6983,4628 2903 656 7106 360 4145 2254 148 3968 6983
33,5969 6052 3799 6334 2635 4394 9956 9347 8453 2908,5969 6052 3799 6334 2635 4394 9956 9347 8453 2908
34,625 4261 633 402 3625 8082 4461 8692 6624 2823,625 4261 633 402 3625 8082 4461 8692 6624 2823
35,9168 3097 874 1190 7339 3790 1047 275 2976 4320,9168 3097 874 1190 7339 3790 1047 275 2976 4320
36,2917 9519 3821 7675 793 6007 3682 4719 525 1799,2917 9519 3821 7675 793 6007 3682 4719 525 1799
37,3433 3932 8692 3061 4377 8185 2346 420 6994 6404,3433 3932 8692 3061 4377 8185 2346 420 6994 6404
38,8683 8647 4220 9971 6570 3431 1529 2069 7121 2320,8683 8647 4220 9971 6570 3431 1529 2069 7121 2320
39,1867 4822 891 4537 5981 8237 6840 8863 7346 2350,1867 4822 891 4537 5981 8237 6840 8863 7346 2350
40,6252 8895 3516 5680 6834 5589 7825 4029 4374 2777,6252 8895 3516 5680 6834 5589 7825 4029 4374 2777
41,9117 8182 6713 9653 9715 6834 2133 8782 6633 5720,9117 8182 6713 9653 9715 6834 2133 8782 6633 5720
42,7642 784 510 2242 4195 77 9440 5972 9295 7883,7642 784 510 2242 4195 77 9440 5972 9295 7883
43,8152 6918 6755 9175 2579 5982 4050 7719 9857 4830,8152 6918 6755 9175 2579 5982 4050 7719 9857 4830
44,9434 2724 5505 4761 2811 6490 6804 7737 9433 1952,9434 2724 5505 4761 2811 6490 6804 7737 9433 1952
45,4437 7624 4405 1434 3706 7318 3914 3654 697 339,4437 7624 4405 1434 3706 7318 3914 3654 697 339
46,7264 7343 4535 7696 1388 1679 7368 8494 1385 3619,7264 7343 4535 7696 1388 1679 7368 8494 1385 3619
47,1272 7886 3833 7499 1734 9487 9609 3399 471 484,1272 7886 3833 7499 1734 9487 9609 3399 471 484
48,7933 1873 4942 5273 4370 3028 6328 5730 2321 8996,7933 1873 4942 5273 4370 3028 6328 5730 2321 8996
49,3634 3925 8979 4573 5588 6460 1563 6618 7352 5098,3634 3925 8979 4573 5588 6460 1563 6618 7352 5098
50,6649 6756 4179 162 8238 51 2719 9945 7136 7897,6649 6756 4179 162 8238 51 2719 9945 7136 7897
51,6965 4547 7187 2891 2504 9910 4663 6573 3111 2629,6965 4547 7187 2891 2504 9910 4663 6573 3111 2629
52,4830 7515 3471 8319 848 7204 2520 3993 3939 7860,4830 7515 3471 8319 848 7204 2520 3993 3939 7860
53,7499 2355 7994 8819 5119 9200 8775 7671 882 7636,7499 2355 7994 8819 5119 9200 8775 7671 882 7636
54,7806 9641 3502 7924 6734 4717 2070 8992 357 5397,7806 9641 3502 7924 6734 4717 2070 8992 357 5397
55,1055 938 4254 5645 7820 6043 6401 7909 6050 1072,1055 938 4254 5645 7820 6043 6401 7909 6050 1072
56,7606 2698 4878 7144 1683 1175 5595 2727 2551 4101,7606 2698 4878 7144 1683 1175 5595 2727 2551 4101
57,4124 5747 1019 7509 8533 7476 4232 2661 632 9778,4124 5747 1019 7509 8533 7476 4232 2661 632 9778
58,1782 837 8737 8705 4613 1488 4662 3662 6520 6000,1782 837 8737 8705 4613 1488 4662 3662 6520 6000
59,5753 7072 7662 6193 2679 9172 7234 9197 7087 7036,5753 7072 7662 6193 2679 9172 7234 9197 7087 7036
60,8596 5257 3087 2979 305 9581 4385 3938 3918 3098,8596 5257 3087 2979 305 9581 4385 3938 3918 3098
61,4836 486 7781 7919 8187 6507 6359 6480 335 6937,4836 486 7781 7919 8187 6507 6359 6480 335 6937
62,8195 9798 563 3128 1800 8283 5036 8951 728 6828,8195 9798 563 3128 1800 8283 5036 8951 728 6828
63,6506 6474 9819 366 1687 7415 891 6135 9725 7544,6506 6474 9819 366 1687 7415 891 6135 9725 7544
64,4541 1569 3849 4603 8843 8325 1788 6309 334 7464,4541 1569 3849 4603 8843 8325 1788 6309 334 7464
65,4201 9447 465 9791 9161 9018 631 2822 7393 9116,4201 9447 465 9791 9161 9018 631 2822 7393 9116
66,4383 4531 5459 6691 8555 6466 2158 1370 662 3386,4383 4531 5459 6691 8555 6466 2158 1370 662 3386
67,4987 890 7453 3118 5609 1603 3942 4583 1880 5982,4987 890 7453 3118 5609 1603 3942 4583 1880 5982
68,450 3581 3183 3834 4904 6103 6325 3066 7176 9910,450 3581 3183 3834 4904 6103 6325 3066 7176 9910
69,3787 7423 663 4313 8761 1264 7581 8789 3047 6637,3787 7423 663 4313 8761 1264 7581 8789 3047 6637
70,2805 9803 8811 6863 6953 8195 6563 329 3473 152,2805 9803 8811 6863 6953 8195 6563 329 3473 152
71,5573 3890 8270 4924 2206 2482 1652 6778 564 33,5573 3890 8270 4924 2206 2482 1652 6778 564 33
72,9677 5694 2276 6203 4493 5814 3384 8192 4897 8565,9677 5694 2276 6203 4493 5814 3384 8192 4897 8565
73,2565 8694 2760 1888 878 7988 4024 7385 8343 6909,2565 8694 2760 1888 878 7988 4024 7385 8343 6909
74,3245 333 5509 9270 32 2723 4537 4096 2050 4201,3245 333 5509 9270 32 2723 4537 4096 2050 4201
75,1766 348 3357 5216 1656 8815 8092 1253 3901 9545,1766 348 3357 5216 1656 8815 8092 1253 3901 9545
76,3731 6647 6748 8056 8995 6711 2712 5679 9164 3204,3731 6647 6748 8056 8995 6711 2712 5679 9164 3204
77,4655 3835 6493 4029 2879 7691 6373 6498 2607 347,4655 3835 6493 4029 2879 7691 6373 6498 2607 347
78,6222 5390 7293 6873 699 8378 8089 4452 3038 1513,6222 5390 7293 6873 699 8378 8089 4452 3038 1513
79,3363 8226 299 263 1145 6238 6720 7906 7363 5156,3363 8226 299 263 1145 6238 6720 7906 7363 5156
80,6332 6873 7733 176 438 7035 1180 1436 1137 5497,6332 6873 7733 176 438 7035 1180 1436 1137 5497
81,7976 3862 8297 4122 5807 2947 5208 5714 6400 9291,7976 3862 8297 4122 5807 2947 5208 5714 6400 9291
82,6926 8534 1733 7046 5420 8608 2966 3451 4185 5888,6926 8534 1733 7046 5420 8608 2966 3451 4185 5888
83,8755 7032 2471 8736 1464 530 9684 7607 9281 8092,8755 7032 2471 8736 1464 530 9684 7607 9281 8092
84,3014 9066 556 1851 4208 5787 8096 9680 3352 2135,3014 9066 556 1851 4208 5787 8096 9680 3352 2135
85,8714 1209 4380 100 8871 874 5525 2741 1251 9409,8714 1209 4380 100 8871 874 5525 2741 1251 9409
86,8132 2754 4262 5115 5761 5043 7102 3363 9054 513,8132 2754 4262 5115 5761 5043 7102 3363 9054 513
87,7519 8702 7483 1150 6314 3328 900 2272 7524 7760,7519 8702 7483 1150 6314 3328 900 2272 7524 7760
88,5188 6615 3249 8107 5885 847 4148 5390 5334 5249,5188 6615 3249 8107 5885 847 4148 5390 5334 5249
89,6867 4931 5320 9328 813 1924 3650 355 8339 3166,6867 4931 5320 9328 813 1924 3650 355 8339 3166
90,4922 6581 9697 693 5545 4517 7819 3151 1521 8488,4922 6581 9697 693 5545 4517 7819 3151 1521 8488
91,2918 7457 539 2428 5801 9525 6066 3687 9053 703,2918 7457 539 2428 5801 9525 6066 3687 9053 703
92,3029 1658 3511 5005 6435 6380 3043 4331 3084 9771,3029 1658 3511 5005 6435 6380 3043 4331 3084 9771
93,7125 239 7690 8442 5203 5055 9326 7627 6952 8355,7125 239 7690 8442 5203 5055 9326 7627 6952 8355
94,6461 3876 7926 5995 5832 9312 3407 6891 5293 6099,6461 3876 7926 5995 5832 9312 3407 6891 5293 6099
95,9902 2503 4394 5560 7728 8266 5052 4112 1412 1095,9902 2503 4394 5560 7728 8266 5052 4112 1412 1095
96,7855 2149 2285 1786 7695 5696 2786 5559 6554 4573,7855 2149 2285 1786 7695 5696 2786 5559 6554 4573
97,7213 6763 4934 1221 8222 7196 3307 1927 6203 7781,7213 6763 4934 1221 8222 7196 3307 1927 6203 7781
98,9674 3081 7763 8941 1160 7901 5427 4852 4808 1310,9674 3081 7763 8941 1160 7901 5427 4852 4808 1310
99,4534 1431 4241 2653 5277 9543 1673 2653 4954 1888,4534 1431 4241 2653 5277 9543 1673 2653 4954 1888
